,Store,StoreType,Assortment,CompetitionDistance,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,Promo2,Promo2SinceWeek,Promo2SinceYear,PromoInterval,Promo2SinceDate,CompetitionOpenSinceDate,avg_cust_visit_per_day,avg_sales_per_day,avg_sales_per_customer
178,179,a,Extended,480.0,0,0,0,0,0,0,0,0,955.8318356867779,7295.274711168165,7.632383060275883
179,180,d,Basic,5800.0,9,2010,0,0,0,0,0,2010-09-01 00:00:00,843.2385204081633,7220.061224489796,8.562300048858038
180,181,a,Basic,12610.0,3,2013,1,14,2011,"Jan,Apr,Jul,Oct",2011-04-04 00:00:00,2013-03-01 00:00:00,668.7897271268058,6382.698234349919,9.543654717560768
181,182,d,Extended,1390.0,0,0,1,9,2011,"Mar,Jun,Sept,Dec",2011-02-28 00:00:00,0,417.79385403329064,5304.654289372599,12.696822220247197
182,183,a,Basic,9670.0,0,0,0,0,0,0,0,0,601.0360065466449,4821.335515548281,8.021708288743113
183,184,d,Extended,3560.0,0,0,0,0,0,0,0,0,595.6679536679536,6594.2972972972975,11.070424817537175
184,185,d,Extended,1860.0,5,2015,0,0,0,0,0,2015-05-01 00:00:00,545.2283163265306,7170.617346938776,13.151586467941955
185,186,a,Basic,290.0,10,2011,1,40,2014,"Jan,Apr,Jul,Oct",2014-10-06 00:00:00,2011-10-01 00:00:00,381.0594855305466,3783.83922829582,9.929786219670152
186,187,a,Extended,19360.0,0,0,0,0,0,0,0,0,775.7079081632653,6279.7334183673465,8.095487170211541
187,188,d,Basic,850.0,0,0,1,18,2011,"Feb,May,Aug,Nov",2011-05-02 00:00:00,0,438.2400513478819,4986.952503209242,11.37949963238417
188,189,d,Basic,5760.0,7,2014,0,0,0,0,0,2014-07-01 00:00:00,837.1258023106546,8762.929396662388,10.467876360368706
189,190,a,Basic,1470.0,12,2006,1,40,2014,"Jan,Apr,Jul,Oct",2014-10-06 00:00:00,2006-12-01 00:00:00,656.104501607717,7198.954983922829,10.972268847847449
190,191,a,Basic,1100.0,8,2013,1,40,2014,"Jan,Apr,Jul,Oct",2014-10-06 00:00:00,2013-08-01 00:00:00,713.8585209003215,6838.9372990353695,9.58024188099635
191,192,d,Extended,2770.0,3,2008,1,40,2014,"Jan,Apr,Jul,Oct",2014-10-06 00:00:00,2008-03-01 00:00:00,645.4131832797427,9016.834405144695,13.970638714450477
192,193,a,Basic,520.0,0,0,0,0,0,0,0,0,781.6589446589446,5362.036036036036,6.859815361513727
193,194,d,Extended,16970.0,0,0,1,5,2013,"Feb,May,Aug,Nov",2013-02-04 00:00:00,0,417.6499356499356,4829.492921492922,11.563494949370444
194,195,a,Extended,220.0,0,0,0,0,0,0,0,0,1298.4403080872914,10713.17971758665,8.250806487491165
195,196,c,Basic,3850.0,11,2005,1,14,2011,"Jan,Apr,Jul,Oct",2011-04-04 00:00:00,2005-11-01 00:00:00,696.8529411764706,5216.3363171355495,7.485562604254787
196,197,c,Basic,4210.0,3,2015,0,0,0,0,0,2015-03-01 00:00:00,842.280612244898,6846.668367346939,8.128726065650232
197,198,a,Basic,290.0,9,2002,1,13,2010,"Jan,Apr,Jul,Oct",2010-03-29 00:00:00,2002-09-01 00:00:00,338.4782608695652,2900.6048593350383,8.569545506063697
198,199,d,Extended,6360.0,12,2010,1,14,2012,"Mar,Jun,Sept,Dec",2012-04-02 00:00:00,2010-12-01 00:00:00,624.5827984595635,7955.697047496791,12.737617922104615
199,200,a,Basic,1650.0,10,2000,0,0,0,0,0,2000-10-01 00:00:00,967.6534017971759,7729.5442875481385,7.987926537738026
200,201,d,Basic,20260.0,0,0,1,18,2014,"Mar,Jun,Sept,Dec",2014-05-05 00:00:00,0,444.21566110397947,5249.351732991014,11.817124411924494
201,202,d,Extended,5140.0,5,2010,0,0,0,0,0,2010-05-01 00:00:00,509.39180537772086,6065.797695262484,11.907921625799641
202,203,c,Extended,490.0,11,2002,0,0,0,0,0,2002-11-01 00:00:00,882.5498721227622,6775.240409207161,7.676892403724386
203,204,a,Basic,5630.0,12,2002,1,40,2014,"Jan,Apr,Jul,Oct",2014-10-06 00:00:00,2002-12-01 00:00:00,524.1784565916398,5486.247588424438,10.466373654685484
204,205,a,Basic,110.0,12,2007,0,0,0,0,0,2007-12-01 00:00:00,879.1862244897959,6536.820153061224,7.435080271935144
205,206,a,Extended,380.0,0,0,1,14,2012,"Jan,Apr,Jul,Oct",2012-04-02 00:00:00,0,799.9050064184852,7157.551989730424,8.94800249066802
206,207,a,Basic,6870.0,0,0,0,0,0,0,0,0,1300.3813775510205,11184.206632653062,8.600712703004122
207,208,c,Basic,300.0,4,2006,0,0,0,0,0,2006-04-01 00:00:00,413.4719387755102,2936.2908163265306,7.101547991436381
208,209,a,Extended,11680.0,9,2011,1,31,2013,"Jan,Apr,Jul,Oct",2013-08-05 00:00:00,2011-09-01 00:00:00,577.1916099773242,5587.78231292517,9.68098325813276
209,210,d,Basic,970.0,11,1999,1,5,2013,"Feb,May,Aug,Nov",2013-02-04 00:00:00,1999-11-01 00:00:00,326.25930680359437,3193.98459563543,9.789711830529281
210,211,a,Extended,350.0,11,2006,0,0,0,0,0,2006-11-01 00:00:00,1485.8048469387754,12994.345663265307,8.745661107538947
211,212,a,Extended,15050.0,9,2008,0,0,0,0,0,2008-09-01 00:00:00,460.7576530612245,4775.656887755102,10.364791243349185
212,213,d,Extended,4030.0,3,2014,1,1,2014,"Jan,Apr,Jul,Oct",2014-01-06 00:00:00,2014-03-01 00:00:00,652.6662387676508,8131.0410783055195,12.458191638130941
213,214,d,Basic,8650.0,7,2013,1,10,2014,"Jan,Apr,Jul,Oct",2014-03-10 00:00:00,2013-07-01 00:00:00,715.4505776636714,9331.875481386392,13.043354457634173
214,215,d,Basic,150.0,0,0,1,45,2009,"Feb,May,Aug,Nov",2009-11-09 00:00:00,0,490.28341384863126,6313.492753623188,12.877230955180545
215,216,c,Basic,190.0,0,0,1,45,2009,"Feb,May,Aug,Nov",2009-11-09 00:00:00,0,887.6726804123712,7226.775773195876,8.14126190054498
216,217,c,Basic,3150.0,0,0,0,0,0,0,0,0,642.8801020408164,4700.8877551020405,7.312230912388048
217,218,a,Extended,640.0,0,0,1,9,2011,"Mar,Jun,Sept,Dec",2011-02-28 00:00:00,0,696.3987138263666,5018.577170418006,7.206471049958444
218,219,a,Basic,1640.0,2,2013,0,0,0,0,0,2013-02-01 00:00:00,406.4441591784339,3133.712451861361,7.710068852251911
219,220,a,Basic,1000.0,9,2008,0,0,0,0,0,2008-09-01 00:00:00,644.6237113402062,4906.432989690722,7.61131324116203
220,221,d,Extended,13530.0,9,2013,0,0,0,0,0,2013-09-01 00:00:00,552.75,5821.838010204082,10.532497530898384
221,222,a,Basic,2170.0,11,2008,0,0,0,0,0,2008-11-01 00:00:00,561.5637755102041,4982.456632653061,8.872468007976995
222,223,d,Extended,2920.0,10,1995,1,27,2011,"Jan,Apr,Jul,Oct",2011-07-04 00:00:00,1995-10-01 00:00:00,738.7161125319693,7232.875959079284,9.791144170780854
223,224,d,Extended,7930.0,0,0,1,1,2013,"Jan,Apr,Jul,Oct",2013-01-07 00:00:00,0,478.66023166023166,6629.749034749035,13.850636832213466
224,225,d,Basic,10180.0,5,2015,0,0,0,0,0,2015-05-01 00:00:00,556.3260869565217,5197.0,9.341643546559338
225,226,a,Basic,450.0,0,0,0,0,0,0,0,0,703.01152368758,7257.290653008963,10.323146077238587
226,227,a,Basic,2370.0,0,0,0,0,0,0,0,0,561.15625,6020.447916666667,10.728648066677804
227,228,d,Extended,10800.0,0,0,1,18,2011,"Feb,May,Aug,Nov",2011-05-02 00:00:00,0,593.1168164313223,7946.139922978177,13.397259532765702
228,229,d,Extended,17410.0,4,2007,1,14,2011,"Jan,Apr,Jul,Oct",2011-04-04 00:00:00,2007-04-01 00:00:00,734.2516046213094,8645.36328626444,11.774388005216945
229,230,d,Extended,6680.0,9,2013,0,0,0,0,0,2013-09-01 00:00:00,940.2270408163265,7561.640306122449,8.042355705444571
230,231,d,Extended,3840.0,10,2008,1,39,2010,"Feb,May,Aug,Nov",2010-09-27 00:00:00,2008-10-01 00:00:00,394.5016077170418,4770.279742765273,12.091914581465481
231,232,c,Extended,13570.0,5,2010,1,10,2013,"Mar,Jun,Sept,Dec",2013-03-11 00:00:00,2010-05-01 00:00:00,303.8355091383812,3372.351174934726,11.099266127576932
232,233,a,Basic,1890.0,0,0,0,0,0,0,0,0,1031.6658130601793,9431.089628681179,9.14161301972991
233,234,d,Basic,4370.0,0,0,0,0,0,0,0,0,1024.721437740693,11072.315789473685,10.805195813884737
234,235,a,Basic,5710.0,3,2012,1,37,2009,"Jan,Apr,Jul,Oct",2009-09-14 00:00:00,2012-03-01 00:00:00,501.12932138284253,5935.44814340589,11.844144595305865
235,236,a,Basic,1000.0,11,2007,0,0,0,0,0,2007-11-01 00:00:00,864.7882653061224,7119.563775510204,8.232724773375576
236,237,a,Basic,1420.0,11,2007,0,0,0,0,0,2007-11-01 00:00:00,574.7308673469388,4535.991071428572,7.892374203542475
237,238,a,Basic,320.0,0,0,1,45,2009,"Feb,May,Aug,Nov",2009-11-09 00:00:00,0,1101.3577023498694,7661.718015665796,6.9566118249490305
238,239,d,Extended,610.0,0,0,0,0,0,0,0,0,472.0680359435173,5071.210526315789,10.742541625763785
239,240,a,Basic,1110.0,5,2009,0,0,0,0,0,2009-05-01 00:00:00,459.75382653061223,4812.035714285715,10.466548480081677
240,241,d,Extended,780.0,0,0,0,0,0,0,0,0,704.7188703465982,6583.227214377407,9.34163606423596
241,242,d,Basic,6880.0,9,2001,1,14,2011,"Jan,Apr,Jul,Oct",2011-04-04 00:00:00,2001-09-01 00:00:00,365.84635083226635,4093.0947503201023,11.188015791352553
242,243,a,Basic,310.0,0,0,1,5,2013,"Feb,May,Aug,Nov",2013-02-04 00:00:00,0,953.4670947030497,7074.07062600321,7.419312806181714
243,244,d,Basic,710.0,3,2012,1,1,2012,"Jan,Apr,Jul,Oct",2012-01-02 00:00:00,2012-03-01 00:00:00,540.3427471116817,5271.098844672657,9.75510242868716
244,245,a,Extended,1310.0,0,0,0,0,0,0,0,0,1020.7567221510883,8897.663252240716,8.716732458533562
245,246,c,Basic,4660.0,4,2013,0,0,0,0,0,2013-04-01 00:00:00,937.2997448979592,7081.054846938776,7.554738903412022
246,247,d,Extended,70.0,11,2010,1,5,2013,"Feb,May,Aug,Nov",2013-02-04 00:00:00,2010-11-01 00:00:00,683.966709346991,8576.710627400767,12.539660936991039
247,248,a,Extended,340.0,9,2012,1,40,2012,"Jan,Apr,Jul,Oct",2012-10-01 00:00:00,2012-09-01 00:00:00,1112.5357142857142,8362.170918367347,7.516316834589121
248,249,d,Extended,18010.0,9,2014,0,0,0,0,0,2014-09-01 00:00:00,537.734693877551,5285.823979591837,9.82979904360697
249,250,d,Basic,3520.0,0,0,1,18,2012,"Feb,May,Aug,Nov",2012-04-30 00:00:00,0,657.9385403329065,8470.623559539052,12.874490610100223
250,251,a,Extended,340.0,0,0,0,0,0,0,0,0,2450.4929396662387,19123.068035943517,7.803763776013209
251,252,d,Extended,22330.0,0,0,1,5,2010,"Feb,May,Aug,Nov",2010-02-01 00:00:00,0,809.630295250321,10615.512195121952,13.111555060868683
252,253,a,Extended,250.0,0,0,1,5,2013,"Feb,May,Aug,Nov",2013-02-04 00:00:00,0,690.7137355584082,5746.724005134788,8.319979333390327
253,254,d,Basic,330.0,3,2008,1,1,2012,"Mar,Jun,Sept,Dec",2012-01-02 00:00:00,2008-03-01 00:00:00,258.6739409499358,3005.9833119383825,11.620742703727414
254,255,c,Extended,4630.0,3,2011,1,35,2011,"Feb,May,Aug,Nov",2011-08-29 00:00:00,2011-03-01 00:00:00,640.3632862644416,6271.130937098845,9.7930831945121
255,256,a,Extended,80.0,9,2005,1,10,2014,"Mar,Jun,Sept,Dec",2014-03-10 00:00:00,2005-09-01 00:00:00,1247.194587628866,9832.87886597938,7.883997383819148
256,257,a,Basic,420.0,12,2012,0,0,0,0,0,2012-12-01 00:00:00,632.0102040816327,5335.585459183673,8.442245749713418
257,258,a,Basic,27190.0,7,2010,1,37,2009,"Jan,Apr,Jul,Oct",2009-09-14 00:00:00,2010-07-01 00:00:00,493.88585209003213,5642.096463022508,11.42388760306904
258,259,b,Extra,210.0,0,0,0,0,0,0,0,0,2372.296137339056,11643.638412017168,4.908172394141965
259,260,a,Basic,540.0,10,2011,0,0,0,0,0,2011-10-01 00:00:00,911.4489795918367,6559.997448979592,7.197328205817156
260,261,d,Extended,15340.0,4,2015,1,39,2009,"Jan,Apr,Jul,Oct",2009-09-28 00:00:00,2015-04-01 00:00:00,948.9345314505777,12616.487804878048,13.295424907334757
261,262,b,Basic,1180.0,5,2013,0,0,0,0,0,2013-05-01 00:00:00,3402.0106157112527,20718.51592356688,6.09007973928244
262,263,a,Extended,1140.0,5,2013,1,40,2014,"Jan,Apr,Jul,Oct",2014-10-06 00:00:00,2013-05-01 00:00:00,355.85530546623795,3707.516077170418,10.418605596768801
263,264,a,Basic,180.0,3,2014,0,0,0,0,0,2014-03-01 00:00:00,954.3753280839895,7234.240157480315,7.580078764194194
264,265,a,Basic,4580.0,0,0,1,14,2015,"Jan,Apr,Jul,Oct",2015-04-06 00:00:00,0,503.25545571245186,4954.829268292683,9.845555000051016
265,266,a,Extended,360.0,3,2014,1,9,2011,"Mar,Jun,Sept,Dec",2011-02-28 00:00:00,2014-03-01 00:00:00,531.3884615384616,4389.757692307692,8.26092023074529
266,267,c,Basic,2460.0,1,2012,0,0,0,0,0,2012-01-01 00:00:00,1124.515306122449,9289.160714285714,8.260590730700303
267,268,a,Basic,4520.0,2,2014,0,0,0,0,0,2014-02-01 00:00:00,598.0293367346939,4881.173469387755,8.162097023600047
268,269,a,Extended,60.0,6,2015,0,0,0,0,0,2015-06-01 00:00:00,1231.1001283697049,9346.706033376124,7.592157467933645
269,270,a,Basic,1450.0,7,2014,0,0,0,0,0,2014-07-01 00:00:00,1205.0676020408164,9291.623724489797,7.7104584910872775
270,271,a,Basic,420.0,0,0,1,14,2011,"Jan,Apr,Jul,Oct",2011-04-04 00:00:00,0,791.8602564102564,7841.691025641026,9.902872334052725
271,272,a,Basic,16180.0,7,2003,1,14,2011,"Jan,Apr,Jul,Oct",2011-04-04 00:00:00,2003-07-01 00:00:00,629.5608194622279,6237.314980793854,9.907406541153215
272,273,a,Extended,8480.0,0,0,0,0,0,0,0,0,703.6521181001284,7059.648267008986,10.032867215791443
273,274,b,Extra,3640.0,0,0,1,10,2013,"Jan,Apr,Jul,Oct",2013-03-11 00:00:00,0,992.7414163090128,4070.8283261802576,4.100592822364049
274,275,d,Basic,300.0,5,2014,1,40,2014,"Jan,Apr,Jul,Oct",2014-10-06 00:00:00,2014-05-01 00:00:00,749.2974276527331,7443.842443729904,9.934429465544358
275,276,a,Basic,2960.0,10,2014,1,36,2013,"Mar,Jun,Sept,Dec",2013-09-09 00:00:00,2014-10-01 00:00:00,520.9487179487179,4091.1948717948717,7.853354333809126
276,277,d,Extended,7840.0,0,0,1,31,2009,"Feb,May,Aug,Nov",2009-08-03 00:00:00,0,535.2459807073955,6444.519292604502,12.040294602655871
277,278,a,Extended,9260.0,2,2010,0,0,0,0,0,2010-02-01 00:00:00,792.5994897959183,7142.1670918367345,9.011066981226204
278,279,d,Extended,2320.0,0,0,1,40,2012,"Jan,Apr,Jul,Oct",2012-10-01 00:00:00,0,667.5329052969503,8881.08988764045,13.304347721539989
279,280,d,Extended,18640.0,9,2013,1,10,2014,"Mar,Jun,Sept,Dec",2014-03-10 00:00:00,2013-09-01 00:00:00,521.0592020592021,6267.489060489061,12.028362680709277
280,281,d,Extended,6970.0,9,2011,0,0,0,0,0,2011-09-01 00:00:00,549.6543367346939,5860.617346938776,10.662368974935548
281,282,a,Basic,1220.0,12,2010,0,0,0,0,0,2010-12-01 00:00:00,640.983418367347,4408.584183673469,6.877844351890728
282,283,a,Basic,2260.0,0,0,1,40,2014,"Jan,Apr,Jul,Oct",2014-10-06 00:00:00,0,718.3263665594856,7114.1591639871385,9.903797904650636
283,284,d,Basic,1290.0,0,0,1,40,2014,"Jan,Apr,Jul,Oct",2014-10-06 00:00:00,0,449.93247588424435,5413.250803858521,12.031251563292814
284,285,a,Basic,2410.0,0,0,0,0,0,0,0,0,470.2381562099872,5154.924455825864,10.962369573267694
285,286,a,Basic,1460.0,4,2015,0,0,0,0,0,2015-04-01 00:00:00,430.45571245186136,4927.8202824133505,11.44791470961008
286,287,c,Basic,2740.0,5,2009,1,40,2014,"Jan,Apr,Jul,Oct",2014-10-06 00:00:00,2009-05-01 00:00:00,818.9983922829582,8152.400321543409,9.954110286857329
287,288,d,Basic,800.0,0,0,1,14,2011,"Mar,Jun,Sept,Dec",2011-04-04 00:00:00,0,422.5176848874598,5625.733118971061,13.31478733362252
288,289,d,Basic,6540.0,12,2007,0,0,0,0,0,2007-12-01 00:00:00,553.7093469910371,6321.227912932139,11.416148106010679
289,290,a,Basic,4150.0,5,2001,0,0,0,0,0,2001-05-01 00:00:00,682.7060333761233,7014.1578947368425,10.274052889279993
290,291,d,Basic,100000.0,0,0,0,0,0,0,0,0,840.35,8023.039743589744,9.547259765085672
291,292,a,Basic,1100.0,6,2009,0,0,0,0,0,2009-06-01 00:00:00,706.5221932114882,5774.090078328982,8.172553012217385
292,293,c,Extended,140.0,11,2007,0,0,0,0,0,2007-11-01 00:00:00,815.3754789272031,6257.765006385696,7.674703456399124
293,294,a,Basic,3150.0,5,2005,0,0,0,0,0,2005-05-01 00:00:00,766.0243277848912,5770.280409731114,7.532763908970105
294,295,a,Basic,210.0,11,2000,1,36,2013,"Mar,Jun,Sept,Dec",2013-09-09 00:00:00,2000-11-01 00:00:00,670.980694980695,5285.4311454311455,7.87717319584465
295,296,a,Basic,9580.0,5,2007,1,45,2014,"Feb,May,Aug,Nov",2014-11-10 00:00:00,2007-05-01 00:00:00,754.8079385403329,6963.460947503201,9.225473914555433
296,297,a,Basic,2300.0,9,2010,0,0,0,0,0,2010-09-01 00:00:00,719.9305019305019,6992.070785070785,9.71214688962541
297,298,d,Basic,19840.0,7,2009,0,0,0,0,0,2009-07-01 00:00:00,691.2845659163987,8398.617363344052,12.149291011886628
298,299,d,Extended,38630.0,9,2012,0,0,0,0,0,2012-09-01 00:00:00,682.8287981859411,6235.306122448979,9.13158047670837
299,300,a,Extended,120.0,4,2009,1,1,2012,"Jan,Apr,Jul,Oct",2012-01-02 00:00:00,2009-04-01 00:00:00,878.6918158567775,7077.595907928388,8.05469651612415
300,301,a,Extended,4510.0,3,2015,0,0,0,0,0,2015-03-01 00:00:00,596.1428571428571,5538.441326530612,9.29045992947862
301,302,d,Extended,2190.0,12,2007,1,9,2011,"Mar,Jun,Sept,Dec",2011-02-28 00:00:00,2007-12-01 00:00:00,323.3393085787452,3742.2842509603074,11.573861116391054
302,303,a,Basic,15430.0,11,2012,1,18,2011,"Feb,May,Aug,Nov",2011-05-02 00:00:00,2012-11-01 00:00:00,673.122555410691,6180.086049543676,9.181219675179406
303,304,a,Basic,1950.0,7,2015,0,0,0,0,0,2015-07-01 00:00:00,1055.938775510204,7067.702806122449,6.69328844629984
304,305,c,Extended,2470.0,2,2005,1,31,2013,"Mar,Jun,Sept,Dec",2013-08-05 00:00:00,2005-02-01 00:00:00,507.4583866837388,5347.341869398208,10.537498265312559
305,306,a,Basic,5100.0,4,2007,1,40,2014,"Jan,Apr,Jul,Oct",2014-10-06 00:00:00,2007-04-01 00:00:00,467.87942122186496,4368.86655948553,9.33759075805526
306,307,a,Basic,18660.0,9,2002,0,0,0,0,0,2002-09-01 00:00:00,307.8056265984655,2703.7365728900254,8.78390886732252
307,308,a,Basic,1070.0,12,2006,1,13,2010,"Jan,Apr,Jul,Oct",2010-03-29 00:00:00,2006-12-01 00:00:00,938.48046875,9353.162760416666,9.966283872561057
308,309,d,Basic,8740.0,0,0,1,37,2009,"Feb,May,Aug,Nov",2009-09-14 00:00:00,0,591.0320924261874,6971.319640564827,11.795162614516501
309,310,a,Extended,2290.0,0,0,1,10,2014,"Mar,Jun,Sept,Dec",2014-03-10 00:00:00,0,699.670011148272,8236.363433667782,11.771782843958931
310,311,a,Extended,680.0,7,2005,0,0,0,0,0,2005-07-01 00:00:00,789.1587708066581,6638.587708066581,8.412233321921754
311,312,d,Basic,11300.0,3,2012,0,0,0,0,0,2012-03-01 00:00:00,538.6530089628682,5568.157490396927,10.33718812992051
312,313,d,Extended,14160.0,0,0,0,0,0,0,0,0,707.0140664961637,7075.494884910486,10.007573003427476
313,314,a,Basic,3560.0,10,2001,1,31,2013,"Feb,May,Aug,Nov",2013-08-05 00:00:00,2001-10-01 00:00:00,571.2580231065468,5137.715019255455,8.993685535156514
314,315,a,Extended,38710.0,4,2013,0,0,0,0,0,2013-04-01 00:00:00,449.57270408163265,4252.410714285715,9.458783141588528
315,316,d,Basic,9000.0,8,2001,0,0,0,0,0,2001-08-01 00:00:00,901.8382541720154,9855.62516046213,10.928373369469291
316,317,d,Basic,3140.0,7,2013,1,14,2011,"Jan,Apr,Jul,Oct",2011-04-04 00:00:00,2013-07-01 00:00:00,579.3183279742765,5379.4855305466235,9.285888726077882
317,318,d,Extended,32330.0,3,2014,0,0,0,0,0,2014-03-01 00:00:00,658.7461538461539,7527.716666666666,11.427340596548998
318,319,a,Extended,570.0,9,2012,1,27,2012,"Mar,Jun,Sept,Dec",2012-07-02 00:00:00,2012-09-01 00:00:00,843.6849489795918,7787.076530612245,9.229839337575536
319,320,a,Extended,210.0,9,2012,0,0,0,0,0,2012-09-01 00:00:00,2063.123724489796,14834.461734693878,7.190291865972504
320,321,c,Extended,8140.0,11,2013,1,10,2014,"Mar,Jun,Sept,Dec",2014-03-10 00:00:00,2013-11-01 00:00:00,585.4641025641025,5958.317948717949,10.177085021306787
321,322,a,Basic,17500.0,4,2001,1,37,2009,"Jan,Apr,Jul,Oct",2009-09-14 00:00:00,2001-04-01 00:00:00,547.8670076726343,5021.1726342711,9.164947996414835
322,323,d,Extended,8400.0,4,2012,1,5,2013,"Feb,May,Aug,Nov",2013-02-04 00:00:00,2012-04-01 00:00:00,621.1424903722722,7365.359435173299,11.85776138218943
323,324,a,Basic,13140.0,0,0,1,14,2011,"Jan,Apr,Jul,Oct",2011-04-04 00:00:00,0,721.7346153846154,5687.985897435898,7.880993617584417
324,325,a,Extended,350.0,3,2011,1,22,2011,"Feb,May,Aug,Nov",2011-05-30 00:00:00,2011-03-01 00:00:00,673.0603337612323,6484.645699614891,9.634568216755609
325,326,d,Basic,10070.0,5,2015,1,31,2013,"Feb,May,Aug,Nov",2013-08-05 00:00:00,2015-05-01 00:00:00,418.74197689345317,5008.903722721438,11.9617903126916
326,327,c,Extended,1390.0,12,2004,0,0,0,0,0,2004-12-01 00:00:00,929.4832904884319,7728.242930591259,8.314558217103789
327,328,a,Basic,3130.0,7,2002,0,0,0,0,0,2002-07-01 00:00:00,520.3992297817715,4432.029525032092,8.516595089678853
328,329,a,Basic,1310.0,6,1990,1,22,2012,"Mar,Jun,Sept,Dec",2012-05-28 00:00:00,1990-06-01 00:00:00,620.5211810012837,6912.716302952504,11.140177828898645
329,330,a,Extended,370.0,0,0,1,22,2012,"Mar,Jun,Sept,Dec",2012-05-28 00:00:00,0,447.5545571245186,4166.6379974326055,9.309787893129114
330,331,a,Extended,670.0,0,0,1,14,2015,"Jan,Apr,Jul,Oct",2015-04-06 00:00:00,0,820.2053915275994,6160.85622593068,7.511357873978778
331,332,a,Basic,1840.0,3,2006,0,0,0,0,0,2006-03-01 00:00:00,501.4974358974359,3728.5666666666666,7.4348668602748695
332,333,a,Extended,3720.0,2,2010,0,0,0,0,0,2010-02-01 00:00:00,1267.109693877551,9773.190051020409,7.712978677570479
333,334,d,Extended,4040.0,8,2008,1,18,2013,"Mar,Jun,Sept,Dec",2013-05-06 00:00:00,2008-08-01 00:00:00,562.1399229781772,5428.385109114249,9.656643990619012
334,335,b,Basic,90.0,0,0,1,31,2013,"Jan,Apr,Jul,Oct",2013-08-05 00:00:00,0,2385.2823779193204,13313.93949044586,5.581703706736641
335,336,a,Basic,190.0,7,2014,0,0,0,0,0,2014-07-01 00:00:00,1960.3115384615385,13910.661538461538,7.096148375160149
336,337,d,Extended,10600.0,7,2005,1,45,2014,"Feb,May,Aug,Nov",2014-11-10 00:00:00,2005-07-01 00:00:00,383.93085787451986,5049.653008962868,13.152506253126562
337,338,a,Extended,1590.0,0,0,1,37,2009,"Jan,Apr,Jul,Oct",2009-09-14 00:00:00,0,624.7311139564661,7217.95390524968,11.55369685293545
338,339,a,Extended,2280.0,0,0,1,10,2013,"Mar,Jun,Sept,Dec",2013-03-11 00:00:00,0,679.3597883597884,5133.638888888889,7.556583384605799
339,340,a,Extended,8080.0,0,0,0,0,0,0,0,0,715.0382653061224,6485.642857142857,9.070343744982965
340,341,a,Basic,190.0,9,2011,0,0,0,0,0,2011-09-01 00:00:00,750.1347881899871,5511.534017971759,7.3473915684814886
341,342,d,Extended,15770.0,0,0,1,40,2014,"Jan,Apr,Jul,Oct",2014-10-06 00:00:00,0,849.7342995169082,11104.138486312399,13.067777177672285
342,343,d,Basic,18650.0,4,2004,1,14,2014,"Jan,Apr,Jul,Oct",2014-04-07 00:00:00,2004-04-01 00:00:00,702.1591784338896,7199.365853658536,10.253182005989228
343,344,a,Extended,300.0,4,2011,1,14,2011,"Jan,Apr,Jul,Oct",2011-04-04 00:00:00,2011-04-01 00:00:00,1139.4107142857142,8481.108418367347,7.4434164187090985
344,345,a,Basic,120.0,0,0,1,22,2012,"Jan,Apr,Jul,Oct",2012-05-28 00:00:00,0,494.37781350482317,4559.585209003216,9.222875874381714
345,346,a,Extended,8090.0,0,0,0,0,0,0,0,0,619.6983311938383,6830.500641848524,11.022299557737522
346,347,d,Extended,9360.0,7,2013,1,22,2012,"Mar,Jun,Sept,Dec",2012-05-28 00:00:00,2013-07-01 00:00:00,386.68468468468467,4804.190476190476,12.424051601909111
347,348,a,Basic,16490.0,0,0,1,22,2012,"Jan,Apr,Jul,Oct",2012-05-28 00:00:00,0,735.5577889447236,8802.97487437186,11.967754276657375
348,349,c,Extended,1490.0,4,2009,0,0,0,0,0,2009-04-01 00:00:00,829.59,8159.215714285714,9.835238749606088
349,350,d,Basic,8880.0,0,0,1,14,2011,"Jan,Apr,Jul,Oct",2011-04-04 00:00:00,0,529.4135723431498,7013.133162612035,13.246984076309882
350,351,a,Basic,5290.0,11,2012,1,5,2013,"Feb,May,Aug,Nov",2013-02-04 00:00:00,2012-11-01 00:00:00,518.8241335044929,6046.867779204108,11.654947001712177
351,352,d,Extended,6360.0,0,0,1,40,2012,"Mar,Jun,Sept,Dec",2012-10-01 00:00:00,0,636.954081632653,6692.232142857143,10.506616310085468
352,353,b,Extra,900.0,0,0,1,14,2013,"Feb,May,Aug,Nov",2013-04-08 00:00:00,0,1449.5273899033298,5645.298603651987,3.8945787730361388
353,354,d,Extended,1500.0,10,2005,0,0,0,0,0,2005-10-01 00:00:00,705.4518613607189,8390.581514762516,11.89391080289766
354,355,a,Extended,9720.0,8,2013,0,0,0,0,0,2013-08-01 00:00:00,1101.6632653061224,9148.811224489797,8.304544149384512
355,356,d,Extended,8970.0,12,2007,1,22,2012,"Feb,May,Aug,Nov",2012-05-28 00:00:00,2007-12-01 00:00:00,435.8018018018018,5719.281853281854,13.123584688350887
356,357,a,Basic,2060.0,10,2008,0,0,0,0,0,2008-10-01 00:00:00,1017.171875,7795.470052083333,7.663867084491825
357,358,a,Basic,2890.0,10,2003,0,0,0,0,0,2003-10-01 00:00:00,1122.591784338896,10306.111681643133,9.18064057248779
